04/09/15 Jack King phototran 2 2000Hz
222 F 856 0x46 0x0 0x3 0x58 0x2c 0xff 
223 R 1023 0x52 0x0 0x3 0xff 0x2c 0xff 
224 F 1096 0x46 0x0 0x4 0x48 0x2c 0xff 
225 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
226 F 1029 0x46 0x0 0x4 0x5 0x2c 0xff 
227 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
228 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
229 R 1037 0x52 0x0 0x4 0xd 0x2c 0xff 
230 F 1094 0x46 0x0 0x4 0x46 0x2c 0xff 
231 R 839 0x52 0x0 0x3 0x47 0x2c 0xff 
232 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
233 F 937 0x46 0x0 0x3 0xa9 0x2c 0xff 
234 R 1098 0x52 0x0 0x4 0x4a 0x2c 0xff 
235 F 883 0x46 0x0 0x3 0x73 0x2c 0xff 
236 R 996 0x52 0x0 0x3 0xe4 0x2c 0xff 
237 F 1099 0x46 0x0 0x4 0x4b 0x2c 0xff 
238 R 874 0x52 0x0 0x3 0x6a 0x2c 0xff 
239 F 1004 0x46 0x0 0x3 0xec 0x2c 0xff 
240 R 1098 0x52 0x0 0x4 0x4a 0x2c 0xff 
241 F 869 0x46 0x0 0x3 0x65 0x2c 0xff 
242 R 1009 0x52 0x0 0x3 0xf1 0x2c 0xff 
243 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
244 R 863 0x52 0x0 0x3 0x5f 0x2c 0xff 
245 F 1015 0x46 0x0 0x3 0xf7 0x2c 0xff 
246 R 1100 0x52 0x0 0x4 0x4c 0x2c 0xff 
247 F 855 0x46 0x0 0x3 0x57 0x2c 0xff 
248 R 1024 0x52 0x0 0x4 0x0 0x2c 0xff 
249 F 1096 0x46 0x0 0x4 0x48 0x2c 0xff 
250 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
251 F 1029 0x46 0x0 0x4 0x5 0x2c 0xff 
252 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
253 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
254 R 1034 0x52 0x0 0x4 0xa 0x2c 0xff 
255 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
256 R 839 0x52 0x0 0x3 0x47 0x2c 0xff 
257 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
258 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
259 F 848 0x46 0x0 0x3 0x50 0x2c 0xff 
260 R 1030 0x52 0x0 0x4 0x6 0x2c 0xff 
261 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
262 R 843 0x52 0x0 0x3 0x4b 0x2c 0xff 
263 F 1036 0x46 0x0 0x4 0xc 0x2c 0xff 
