phototran 2 330Hz siggen Jack King 04/10/15
183 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
184 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
185 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
186 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
187 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
188 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
189 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
190 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
191 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
192 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
193 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
194 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
195 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
196 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
197 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
198 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
199 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
200 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
201 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
202 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
203 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
204 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
205 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
206 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
207 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
208 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
209 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
210 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
211 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
212 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
213 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
214 F 1918 0x46 0x0 0x7 0x7e 0x2c 0xff 
215 R 949 0x52 0x0 0x3 0xb5 0x2c 0xff 
216 F 949 0x46 0x0 0x3 0xb5 0x2c 0xff 
217 R 950 0x52 0x0 0x3 0xb6 0x2c 0xff 
218 F 960 0x46 0x0 0x3 0xc0 0x2c 0xff 
219 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
220 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
221 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
222 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
223 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
224 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
225 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
226 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
227 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
228 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
229 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
230 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
231 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
232 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
233 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
234 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
235 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
236 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
237 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
238 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
239 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
240 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
241 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
242 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
243 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
244 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
245 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
246 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
247 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
248 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
249 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
250 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
251 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
252 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
253 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
254 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
255 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
256 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
257 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
258 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
259 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
260 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
261 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
262 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
263 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
264 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
265 F 1918 0x46 0x0 0x7 0x7e 0x2c 0xff 
266 R 949 0x52 0x0 0x3 0xb5 0x2c 0xff 
267 F 949 0x46 0x0 0x3 0xb5 0x2c 0xff 
268 R 950 0x52 0x0 0x3 0xb6 0x2c 0xff 
269 F 960 0x46 0x0 0x3 0xc0 0x2c 0xff 
270 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
271 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
272 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
273 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
274 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
275 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
276 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
277 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
278 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
279 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
280 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
281 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
282 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
283 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
284 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
285 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
286 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
287 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
288 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
289 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
290 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
291 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
292 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
