04/09/15 Jack King phototran 2 10KHz
345 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
346 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
347 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
348 R 971 0x52 0x0 0x3 0xcb 0x2c 0xff 
349 F 977 0x46 0x0 0x3 0xd1 0x2c 0xff 
350 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
351 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
352 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
353 R 972 0x52 0x0 0x3 0xcc 0x2c 0xff 
354 F 977 0x46 0x0 0x3 0xd1 0x2c 0xff 
355 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
356 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
357 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
358 R 971 0x52 0x0 0x3 0xcb 0x2c 0xff 
359 F 977 0x46 0x0 0x3 0xd1 0x2c 0xff 
360 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
361 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
362 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
363 R 971 0x52 0x0 0x3 0xcb 0x2c 0xff 
364 F 977 0x46 0x0 0x3 0xd1 0x2c 0xff 
365 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
366 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
367 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
368 R 972 0x52 0x0 0x3 0xcc 0x2c 0xff 
369 F 976 0x46 0x0 0x3 0xd0 0x2c 0xff 
370 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
371 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
372 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
373 R 972 0x52 0x0 0x3 0xcc 0x2c 0xff 
374 F 977 0x46 0x0 0x3 0xd1 0x2c 0xff 
375 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
376 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
377 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
378 R 972 0x52 0x0 0x3 0xcc 0x2c 0xff 
379 F 976 0x46 0x0 0x3 0xd0 0x2c 0xff 
380 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
381 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
382 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
383 R 972 0x52 0x0 0x3 0xcc 0x2c 0xff 
384 F 977 0x46 0x0 0x3 0xd1 0x2c 0xff 
385 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
386 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
387 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
388 R 971 0x52 0x0 0x3 0xcb 0x2c 0xff 
389 F 978 0x46 0x0 0x3 0xd2 0x2c 0xff 
390 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
391 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
392 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
393 R 971 0x52 0x0 0x3 0xcb 0x2c 0xff 
394 F 977 0x46 0x0 0x3 0xd1 0x2c 0xff 
395 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
396 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
397 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
398 R 972 0x52 0x0 0x3 0xcc 0x2c 0xff 
399 F 976 0x46 0x0 0x3 0xd0 0x2c 0xff 
400 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
401 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
402 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
403 R 972 0x52 0x0 0x3 0xcc 0x2c 0xff 
404 F 977 0x46 0x0 0x3 0xd1 0x2c 0xff 
405 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
406 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
407 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
408 R 971 0x52 0x0 0x3 0xcb 0x2c 0xff 
409 F 977 0x46 0x0 0x3 0xd1 0x2c 0xff 
410 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
411 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
412 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
413 R 968 0x52 0x0 0x3 0xc8 0x2c 0xff 
414 F 981 0x46 0x0 0x3 0xd5 0x2c 0xff 
415 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
416 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
417 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
418 R 968 0x52 0x0 0x3 0xc8 0x2c 0xff 
419 F 980 0x46 0x0 0x3 0xd4 0x2c 0xff 
420 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
421 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
