04/09/15 Jack King phototran 2 1000Hz
155 R 1266 0x52 0x0 0x4 0xf2 0x2c 0xff 
156 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
157 R 943 0x52 0x0 0x3 0xaf 0x2c 0xff 
158 F 943 0x46 0x0 0x3 0xaf 0x2c 0xff 
159 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
160 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
161 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
162 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
163 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
164 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
165 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
166 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
167 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
168 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
169 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
170 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
171 F 1274 0x46 0x0 0x4 0xfa 0x2c 0xff 
172 R 939 0x52 0x0 0x3 0xab 0x2c 0xff 
173 F 938 0x46 0x0 0x3 0xaa 0x2c 0xff 
174 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
175 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
176 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
177 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
178 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
179 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
180 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
181 F 1267 0x46 0x0 0x4 0xf3 0x2c 0xff 
182 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
183 F 938 0x46 0x0 0x3 0xaa 0x2c 0xff 
184 R 948 0x52 0x0 0x3 0xb4 0x2c 0xff 
185 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
186 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
187 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
188 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
189 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
190 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
191 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
192 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
193 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
194 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
195 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
196 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
197 R 1270 0x52 0x0 0x4 0xf6 0x2c 0xff 
198 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
199 R 942 0x52 0x0 0x3 0xae 0x2c 0xff 
200 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
201 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
202 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
203 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
204 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
205 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
206 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
207 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
208 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
209 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
210 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
211 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
212 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
213 F 1278 0x46 0x0 0x4 0xfe 0x2c 0xff 
214 R 939 0x52 0x0 0x3 0xab 0x2c 0xff 
215 F 939 0x46 0x0 0x3 0xab 0x2c 0xff 
216 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
217 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
218 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
219 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
220 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
221 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
222 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
223 F 1270 0x46 0x0 0x4 0xf6 0x2c 0xff 
224 R 939 0x52 0x0 0x3 0xab 0x2c 0xff 
225 F 938 0x46 0x0 0x3 0xaa 0x2c 0xff 
226 R 945 0x52 0x0 0x3 0xb1 0x2c 0xff 
227 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
228 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
229 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
230 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
231 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
232 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
233 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
234 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
235 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
236 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
237 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
238 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
239 R 1276 0x52 0x0 0x4 0xfc 0x2c 0xff 
240 F 938 0x46 0x0 0x3 0xaa 0x2c 0xff 
241 R 941 0x52 0x0 0x3 0xad 0x2c 0xff 
242 F 937 0x46 0x0 0x3 0xa9 0x2c 0xff 
243 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
244 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
245 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
246 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
247 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
248 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
249 R 1266 0x52 0x0 0x4 0xf2 0x2c 0xff 
250 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
251 R 943 0x52 0x0 0x3 0xaf 0x2c 0xff 
252 F 943 0x46 0x0 0x3 0xaf 0x2c 0xff 
253 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
254 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
255 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
256 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
257 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
258 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
259 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
260 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
261 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
262 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
263 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
264 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
265 F 1274 0x46 0x0 0x4 0xfa 0x2c 0xff 
266 R 939 0x52 0x0 0x3 0xab 0x2c 0xff 
267 F 938 0x46 0x0 0x3 0xaa 0x2c 0xff 
268 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
269 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
270 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
271 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
272 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
273 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
274 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
275 F 1266 0x46 0x0 0x4 0xf2 0x2c 0xff 
276 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
277 F 938 0x46 0x0 0x3 0xaa 0x2c 0xff 
278 R 947 0x52 0x0 0x3 0xb3 0x2c 0xff 
279 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
280 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
281 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
282 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
283 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
284 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
285 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
286 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
287 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
288 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
289 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
290 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
291 R 1273 0x52 0x0 0x4 0xf9 0x2c 0xff 
292 F 937 0x46 0x0 0x3 0xa9 0x2c 0xff 
293 R 942 0x52 0x0 0x3 0xae 0x2c 0xff 
294 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
295 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
