04/09/15 Jack King phototran 2 100KHz
368 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
369 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
370 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
371 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
372 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
373 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
374 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
375 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
376 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
377 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
378 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
379 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
380 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
381 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
382 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
383 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
384 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
385 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
386 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
387 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
388 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
389 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
390 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
391 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
392 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
393 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
394 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
395 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
396 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
397 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
398 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
399 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
400 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
401 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
402 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
403 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
404 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
405 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
406 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
407 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
408 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
409 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
410 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
411 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
412 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
413 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
414 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
415 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
416 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
417 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
418 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
419 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
420 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
421 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
422 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
423 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
424 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
425 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
426 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
427 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
428 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
429 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
