PhotoTran 2 Sig Gen 1MHz Jack King 04/09/15
188 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
189 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
190 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
191 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
192 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
193 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
194 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
195 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
196 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
197 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
198 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
199 R 973 0x52 0x0 0x3 0xcd 0x2c 0xff 
200 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
201 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
202 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
203 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
204 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
205 R 1018 0x52 0x0 0x3 0xfa 0x2c 0xff 
206 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
207 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
208 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
209 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
210 F 979 0x46 0x0 0x3 0xd3 0x2c 0xff 
211 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
212 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
213 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
214 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
215 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
216 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
217 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
218 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
219 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
220 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
221 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
222 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
223 F 985 0x46 0x0 0x3 0xd9 0x2c 0xff 
224 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
225 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
226 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
227 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
228 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
229 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
230 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
231 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
232 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
233 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
234 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
235 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
236 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
237 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
238 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
239 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
240 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
241 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
242 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
243 R 1014 0x52 0x0 0x3 0xf6 0x2c 0xff 
244 R 966 0x52 0x0 0x3 0xc6 0x2c 0xff 
245 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
246 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
247 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
248 F 980 0x46 0x0 0x3 0xd4 0x2c 0xff 
249 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
250 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
251 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
252 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
253 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
254 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
255 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
256 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
257 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
