04/09/15 Jack King photo tran 2 750Hz
287 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
288 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
289 F 834 0x46 0x0 0x3 0x42 0x2c 0xff 
290 R 1257 0x52 0x0 0x4 0xe9 0x2c 0xff 
291 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
292 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
293 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
294 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
295 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
296 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
297 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
298 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
299 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
300 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
301 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
302 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
303 R 1257 0x52 0x0 0x4 0xe9 0x2c 0xff 
304 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
305 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
306 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
307 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
308 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
309 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
310 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
311 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
312 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
313 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
314 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
315 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
316 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
317 R 1254 0x52 0x0 0x4 0xe6 0x2c 0xff 
318 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
319 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
