phototran 2 318Hz siggen Jack King 04/10/15
250 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
251 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
252 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
253 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
254 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
255 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
256 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
257 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
258 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
259 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
260 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
261 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
262 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
263 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
264 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
265 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
266 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
267 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
268 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
269 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
270 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
271 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
272 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
273 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
274 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
275 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
276 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
277 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
278 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
279 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
280 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
281 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
282 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
283 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
284 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
285 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
286 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
287 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
288 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
289 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
290 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
291 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
292 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
293 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
294 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
295 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
296 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
297 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
298 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
299 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
300 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
301 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
302 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
303 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
304 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
305 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
306 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
307 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
308 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
309 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
310 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
311 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
312 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
313 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
314 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
315 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
316 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
317 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
318 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
319 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
320 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
321 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
322 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
323 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
324 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
325 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
326 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
327 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
328 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
329 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
330 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
331 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
332 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
333 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
334 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
335 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
336 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
337 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
338 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
339 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
340 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
341 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
342 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
343 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
344 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
