04/09/15 Jack King phototran 2 5000Hz
192 F 1019 0x46 0x0 0x3 0xfb 0x2c 0xff 
193 R 961 0x52 0x0 0x3 0xc1 0x2c 0xff 
194 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
195 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
196 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
197 R 1020 0x52 0x0 0x3 0xfc 0x2c 0xff 
198 F 960 0x46 0x0 0x3 0xc0 0x2c 0xff 
199 R 1044 0x52 0x0 0x4 0x14 0x2c 0xff 
200 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
201 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
202 F 1019 0x46 0x0 0x3 0xfb 0x2c 0xff 
203 R 961 0x52 0x0 0x3 0xc1 0x2c 0xff 
204 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
205 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
206 F 988 0x46 0x0 0x3 0xdc 0x2c 0xff 
207 R 1019 0x52 0x0 0x3 0xfb 0x2c 0xff 
208 F 961 0x46 0x0 0x3 0xc1 0x2c 0xff 
209 R 1043 0x52 0x0 0x4 0x13 0x2c 0xff 
210 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
211 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
212 F 1019 0x46 0x0 0x3 0xfb 0x2c 0xff 
213 R 961 0x52 0x0 0x3 0xc1 0x2c 0xff 
214 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
215 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
216 F 988 0x46 0x0 0x3 0xdc 0x2c 0xff 
217 R 1019 0x52 0x0 0x3 0xfb 0x2c 0xff 
218 F 961 0x46 0x0 0x3 0xc1 0x2c 0xff 
219 R 1043 0x52 0x0 0x4 0x13 0x2c 0xff 
220 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
221 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
222 F 1018 0x46 0x0 0x3 0xfa 0x2c 0xff 
223 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
224 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
225 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
226 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
227 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
228 F 964 0x46 0x0 0x3 0xc4 0x2c 0xff 
229 R 1043 0x52 0x0 0x4 0x13 0x2c 0xff 
230 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
231 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
232 F 1018 0x46 0x0 0x3 0xfa 0x2c 0xff 
233 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
234 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
235 R 941 0x52 0x0 0x3 0xad 0x2c 0xff 
236 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
237 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
238 F 964 0x46 0x0 0x3 0xc4 0x2c 0xff 
239 R 1043 0x52 0x0 0x4 0x13 0x2c 0xff 
240 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
241 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
242 F 1018 0x46 0x0 0x3 0xfa 0x2c 0xff 
243 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
244 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
245 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
246 F 988 0x46 0x0 0x3 0xdc 0x2c 0xff 
247 R 1016 0x52 0x0 0x3 0xf8 0x2c 0xff 
248 F 963 0x46 0x0 0x3 0xc3 0x2c 0xff 
249 R 1044 0x52 0x0 0x4 0x14 0x2c 0xff 
250 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
251 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
252 F 1019 0x46 0x0 0x3 0xfb 0x2c 0xff 
253 R 961 0x52 0x0 0x3 0xc1 0x2c 0xff 
254 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
