04/09/15 Jack King phototran 2 500Hz
302 R 843 0x52 0x0 0x3 0x4b 0x2c 0xff 
303 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
304 R 1299 0x52 0x0 0x5 0x13 0x2c 0xff 
305 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
306 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
307 F 1298 0x46 0x0 0x5 0x12 0x2c 0xff 
308 R 847 0x52 0x0 0x3 0x4f 0x2c 0xff 
309 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
310 R 1296 0x52 0x0 0x5 0x10 0x2c 0xff 
311 F 848 0x46 0x0 0x3 0x50 0x2c 0xff 
312 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
313 F 1295 0x46 0x0 0x5 0xf 0x2c 0xff 
314 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
315 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
316 R 1294 0x52 0x0 0x5 0xe 0x2c 0xff 
317 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
318 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
319 F 1306 0x46 0x0 0x5 0x1a 0x2c 0xff 
320 R 840 0x52 0x0 0x3 0x48 0x2c 0xff 
321 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
322 R 1303 0x52 0x0 0x5 0x17 0x2c 0xff 
323 F 842 0x46 0x0 0x3 0x4a 0x2c 0xff 
324 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
325 F 1303 0x46 0x0 0x5 0x17 0x2c 0xff 
326 R 842 0x52 0x0 0x3 0x4a 0x2c 0xff 
327 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
328 R 1300 0x52 0x0 0x5 0x14 0x2c 0xff 
329 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
330 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
331 F 1298 0x46 0x0 0x5 0x12 0x2c 0xff 
332 R 846 0x52 0x0 0x3 0x4e 0x2c 0xff 
333 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
334 R 1297 0x52 0x0 0x5 0x11 0x2c 0xff 
335 F 848 0x46 0x0 0x3 0x50 0x2c 0xff 
336 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
337 F 1292 0x46 0x0 0x5 0xc 0x2c 0xff 
338 R 837 0x52 0x0 0x3 0x45 0x2c 0xff 
339 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
340 R 1307 0x52 0x0 0x5 0x1b 0x2c 0xff 
341 F 838 0x46 0x0 0x3 0x46 0x2c 0xff 
342 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
343 F 1305 0x46 0x0 0x5 0x19 0x2c 0xff 
344 R 840 0x52 0x0 0x3 0x48 0x2c 0xff 
345 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
346 R 1304 0x52 0x0 0x5 0x18 0x2c 0xff 
347 F 841 0x46 0x0 0x3 0x49 0x2c 0xff 
348 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
349 F 1302 0x46 0x0 0x5 0x16 0x2c 0xff 
350 R 843 0x52 0x0 0x3 0x4b 0x2c 0xff 
351 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
352 R 1300 0x52 0x0 0x5 0x14 0x2c 0xff 
353 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
354 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
355 F 1295 0x46 0x0 0x5 0xf 0x2c 0xff 
356 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
357 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
358 R 1294 0x52 0x0 0x5 0xe 0x2c 0xff 
359 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
360 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
361 F 1309 0x46 0x0 0x5 0x1d 0x2c 0xff 
362 R 836 0x52 0x0 0x3 0x44 0x2c 0xff 
363 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
364 R 1307 0x52 0x0 0x5 0x1b 0x2c 0xff 
365 F 838 0x46 0x0 0x3 0x46 0x2c 0xff 
366 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
367 F 1305 0x46 0x0 0x5 0x19 0x2c 0xff 
368 R 840 0x52 0x0 0x3 0x48 0x2c 0xff 
369 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
370 R 1303 0x52 0x0 0x5 0x17 0x2c 0xff 
371 F 842 0x46 0x0 0x3 0x4a 0x2c 0xff 
372 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
373 F 1298 0x46 0x0 0x5 0x12 0x2c 0xff 
374 R 846 0x52 0x0 0x3 0x4e 0x2c 0xff 
375 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
376 R 1300 0x52 0x0 0x5 0x14 0x2c 0xff 
377 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
378 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
379 F 1296 0x46 0x0 0x5 0x10 0x2c 0xff 
380 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
381 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
382 R 1293 0x52 0x0 0x5 0xd 0x2c 0xff 
383 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
384 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
385 F 1309 0x46 0x0 0x5 0x1d 0x2c 0xff 
386 R 836 0x52 0x0 0x3 0x44 0x2c 0xff 
387 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
388 R 1306 0x52 0x0 0x5 0x1a 0x2c 0xff 
389 F 839 0x46 0x0 0x3 0x47 0x2c 0xff 
390 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
391 F 1302 0x46 0x0 0x5 0x16 0x2c 0xff 
392 R 843 0x52 0x0 0x3 0x4b 0x2c 0xff 
393 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
394 R 1304 0x52 0x0 0x5 0x18 0x2c 0xff 
395 F 841 0x46 0x0 0x3 0x49 0x2c 0xff 
396 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
397 F 1298 0x46 0x0 0x5 0x12 0x2c 0xff 
398 R 847 0x52 0x0 0x3 0x4f 0x2c 0xff 
399 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
400 R 1296 0x52 0x0 0x5 0x10 0x2c 0xff 
401 F 848 0x46 0x0 0x3 0x50 0x2c 0xff 
402 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
403 F 1295 0x46 0x0 0x5 0xf 0x2c 0xff 
404 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
405 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
406 R 1294 0x52 0x0 0x5 0xe 0x2c 0xff 
407 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
408 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
409 F 1305 0x46 0x0 0x5 0x19 0x2c 0xff 
410 R 839 0x52 0x0 0x3 0x47 0x2c 0xff 
