04/09/15 Jack King phototran 2 40KHz
354 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
355 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
356 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
357 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
358 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
359 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
360 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
361 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
362 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
363 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
364 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
365 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
366 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
367 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
368 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
369 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
370 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
371 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
372 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
373 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
374 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
375 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
376 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
377 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
378 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
379 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
380 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
381 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
382 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
383 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
384 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
385 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
386 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
387 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
388 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
389 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
390 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
391 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
392 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
393 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
394 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
395 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
396 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
397 F 997 0x46 0x0 0x3 0xe5 0x2c 0xff 
398 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
399 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
400 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
401 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
402 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
403 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
404 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
405 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
406 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
407 F 997 0x46 0x0 0x3 0xe5 0x2c 0xff 
408 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
409 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
410 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
411 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
412 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
413 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
414 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
415 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
416 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
417 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
418 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
419 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
420 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
421 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
422 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
423 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
424 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
