04/09/15 Jack King phototran 2 50KHz
332 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
333 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
334 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
335 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
336 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
337 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
338 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
339 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
340 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
341 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
342 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
343 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
344 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
345 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
346 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
347 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
348 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
349 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
350 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
351 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
352 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
353 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
354 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
355 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
356 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
357 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
358 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
359 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
360 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
361 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
362 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
363 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
364 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
365 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
366 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
367 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
368 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
369 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
370 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
371 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
372 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
373 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
374 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
375 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
376 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
377 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
378 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
379 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
380 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
381 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
382 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
383 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
384 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
385 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
386 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
387 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
388 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
389 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
390 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
391 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
392 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
393 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
394 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
395 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
396 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
397 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
398 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
399 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
400 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
401 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
402 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
403 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
404 F 982 0x46 0x0 0x3 0xd6 0x2c 0xff 
405 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
406 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
407 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
408 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
409 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
410 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
411 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
412 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
413 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
414 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
415 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
416 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
417 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
418 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
419 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
420 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
421 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
422 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
423 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
424 F 1246 0x46 0x0 0x4 0xde 0x2c 0xff 
425 F 734 0x46 0x0 0x2 0xde 0x2c 0xff 
426 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
427 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
428 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
429 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
