04/09/15 Jack King phototran 2 75KHz
221 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
222 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
223 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
224 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
225 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
226 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
227 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
228 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
229 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
230 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
231 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
232 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
233 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
234 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
235 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
236 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
237 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
238 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
239 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
240 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
241 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
242 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
243 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
244 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
245 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
246 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
247 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
248 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
249 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
250 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
251 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
252 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
253 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
254 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
255 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
256 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
257 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
258 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
259 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
260 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
261 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
