phototran 2 312Hz siggen Jack King 04/10/15
397 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
398 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
399 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
400 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
401 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
402 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
403 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
404 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
405 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
406 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
407 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
408 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
409 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
410 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
411 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
412 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
413 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
414 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
415 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
